Primary DBID	Systematic Name	Standard Name	Name	Feature Type	Function Summary	Description	Gene Summary
S000000001	YAL001C	TFC3	Transcription Factor class C	ORF	Subunit of the transcription factor TFIIIC complex; involved in recruiting TFIIIB to chromatin for transcription of RNA genes by RNA polymerase III	Subunit of RNA polymerase III transcription initiation factor complex; part of TauB domain of TFIIIC that binds DNA at BoxB promoter sites of tRNA and similar genes; cooperates with Tfc6p in DNA binding; largest of six subunits of RNA polymerase III transcription initiation factor complex (TFIIIC); colocalizes with condensin at pol III genes and several ETC (extra TFIIIC) sites; may have a role in recruiting or stabilizing Scc2/4 and condensin on chromosomes	
S000000002	YAL002W	VPS8	Vacuolar Protein Sorting	ORF	A GTPase binding protein anchor that is subunit of the CORVET endosomal tethering complex; involved in protein targeting during late endosome to vacuole transport	Membrane-binding component of the CORVET complex; involved in endosomal vesicle tethering and fusion in the endosome to vacuole protein targeting pathway; interacts with Vps21p; contains RING finger motif	
S000000003	YAL003W	EFB1	Elongation Factor Beta	ORF	"Guanyl-nucleotide exchange factor subunit of the translation elongation factor 1 (EF-1) complex; functions in translation elongation and regulation of translational termination; moonlighting role as a regulator of the actin bundling activity of the EF-1 subunit eEF1A, encoded by TEF1 and TEF2"	"Translation elongation factor 1 beta; stimulates nucleotide exchange to regenerate EF-1 alpha-GTP for the next elongation cycle; part of the EF-1 complex, which facilitates binding of aminoacyl-tRNA to the ribosomal A site; human homolog EEF1B2 can complement yeast efb1 mutants"	
S000000004	YAL005C	SSA1	Stress-Seventy subfamily A	ORF	"ATPase involved in protein folding, nuclear import, stress granule disassembly, and clathrin coat disassembly; localizes to many places in the cell, including the cell wall, vacuolar and plasma membranes, and the nucleus"	"ATPase involved in protein folding and NLS-directed nuclear transport; member of HSP70 family; required for ubiquitin-dependent degradation of short-lived proteins; forms chaperone complex with Ydj1p; localized to nucleus, cytoplasm, cell wall; 98% identical to paralog Ssa2p with different functional specificity in propagation of yeast [URE3] prions, vacuolar-mediated degradations of gluconeogenesis enzymes; general targeting factor of Hsp104p to prion fibrils"	
S000000005	YAL007C	ERP2	Emp24p/Erv25p Related Protein	ORF	Component of the COP II vesicle that is involved in ER to Golgi vesicle mediated transport of Gas1p and retention of Kar2 (BIP) in the ER	"Member of the p24 family involved in ER to Golgi transport; similar to Emp24p and Erv25p; role in misfolded protein quality control; forms a heterotrimeric complex with Erp1p, Emp24p, and Erv25p; localized to COPII-coated vesicles; ERP2 has a paralog, ERP4, that arose from the whole genome duplication"	
S000000006	YAL008W	FUN14	Function Unknown Now	ORF	Integral component of the mitochondrial outer membrane involved in mitochondrial organization and phopholipid homeostasis	"Integral mitochondrial outer membrane (MOM) protein; dosage suppressor of an MDM10 null that reduces ERMES-related phenotypes, such as alterations in mitochondrial morphology, protein complex assembly, and lipid profile; dosage suppressor of MDM12, MDM34, and MMM1 null mutant growth defects; novel mechanism of MOM import involving Tom70p, the TOM complex, and the TIM23 complex, requiring mitochondrial membrane potential and processing by the IMP complex for correct biogenesis"	
S000000007	YAL009W	SPO7	SPOrulation	ORF	Subunit of the membrane Nem1-Spo7 phosphoprotein phosphatase complex involved in nuclear envelope organization and regulation of phospholipid biosynthesis; positive regulator of phosphatidate phosphatase	"Putative regulatory subunit of Nem1p-Spo7p phosphatase holoenzyme; regulates nuclear/ER membrane association and activation of Pah1p, a phosphatidate phosphatase involved in the production of diacylglycerol DAG for lipid droplet biogenesis; phosphatase activity of the Nem1p-Spo7p complex is inhibited by Ice2p; regulates nuclear growth by controlling phospholipid biosynthesis; required for normal nuclear envelope morphology, premeiotic replication, and sporulation"	
S000000008	YAL010C	MDM10	Mitochondrial Distribution and Morphology	ORF	"Protein with a role in mitochondrion organization, localization, tethering to the endoplasmic reticulum (ER), and assembly of mitochondrial outer membrane translocase complex with Tom22p; found in ERMES and mitochondrial sorting and assembly machinery complexes"	"Subunit of both the ERMES and the SAM complex; component of ERMES complex which acts as a molecular tether between the mitochondria and the ER, necessary for efficient phospholipid exchange between organelles and for mitophagy; SAM/TOB complex component that functions in the assembly of outer membrane beta-barrel proteins; involved in mitochondrial inheritance and morphology; ERMES complex is often co-localized with peroxisomes and concentrated areas of pyruvate dehydrogenase"	
S000000009	YAL011W	SWC3	SWr Complex	ORF	Subunit of Swr1 chromatin remodeling complex involved in histone exchange and endoplasmic reticulum organization; localizes to nucleus and mitochondria	"Protein of unknown function; component of the SWR1 complex, which exchanges histone variant H2AZ (Htz1p) for chromatin-bound histone H2A; required for formation of nuclear-associated array of smooth endoplasmic reticulum known as karmellae"	
S000000010	YAL012W	CYS3	CYStathionine gamma-lyase	ORF	Cystathionine gamma-lyase involved in transsulfuration and cysteine biosynthesis; localizes to both the nucleus and cytoplasm	Cystathionine gamma-lyase; catalyzes one of the two reactions involved in the transsulfuration pathway that yields cysteine from homocysteine with the intermediary formation of cystathionine; protein abundance increases in response to DNA replication stress	
